"id","productCategory","scheme","material","features","body"
"1C001","steel-carbon ",,,,"Цельная твердосплавная концевая фреза, 4 зуба, с короткой режущей частью, с заниженной шейкой. "
"1C002","steel-carbon ",,,,
"1C003","steel-carbon ",,,,
"1C012","steel-carbon ",,,,
"1C101","terminal-aluminium ",,,,
"1C103","terminal-aluminium ",,,,
"1C113","terminal-aluminium ",,,,
"1C201","stainless-steel ",,,,
"1C202","stainless-steel ",,,,
"1C203","stainless-steel ",,,,
"1C212","stainless-steel ",,,,
"1C401","titan ",,,,
"1C402","titan ",,,,
"1C403","titan ",,,,
"1C501","hardened-steel ",,,,
"1C502","hardened-steel ",,,,
"1C503","hardened-steel ",,,,
"1C508","hardened-steel ",,,,
"1R042","steel-carbon ",,,,
"1R141","terminal-aluminium ",,,,
"1R242","stainless-steel ",,,,
"1R442","titan ",,,,
"1R542","hardened-steel ",,,,
"1S072","steel-carbon ",,,,
"1S172","terminal-aluminium ",,,,
"1S271","stainless-steel ",,,,
"1S572","hardened-steel ",,,,
